t`s	v(dout)`V	v(rst)`V
5.07813e-05	1.8e-14	0
5.08594e-05	1.8	0
5.09375e-05	1.8	0
5.10156e-05	1.8e-14	0
5.10938e-05	1.8	0
5.11719e-05	1.8	0
5.125e-05	1.8e-14	0
5.13281e-05	1.8	0
5.14063e-05	1.8	0
5.14844e-05	1.8	0
5.15625e-05	1.8e-14	0
5.16406e-05	1.8	0
5.17188e-05	1.8	0
5.17969e-05	1.8	0
5.1875e-05	1.8e-14	0
5.19531e-05	1.8	0
5.20313e-05	1.8	0
5.21094e-05	1.8e-14	0
5.21875e-05	1.8	0
5.22656e-05	1.8	0
5.23438e-05	1.8	0
5.24219e-05	1.8	0
5.25e-05	1.8e-14	0
5.25781e-05	1.8	0
5.26563e-05	1.8e-14	0
5.27344e-05	1.8	0
5.28125e-05	1.8	0
5.28906e-05	1.8	0
5.29688e-05	1.8	0
5.30469e-05	1.8	0
5.3125e-05	1.8e-14	0
5.32031e-05	1.8	0
5.32813e-05	1.8	0
5.33594e-05	1.8e-14	0
5.34375e-05	1.8	0
5.35156e-05	1.8	0
5.35938e-05	1.8	0
5.36719e-05	1.8e-14	0
5.375e-05	1.8	0
5.38281e-05	1.8	0
5.39063e-05	1.8	0
5.39844e-05	1.8e-14	0
5.40625e-05	1.8	0
5.41406e-05	1.8	0
5.42188e-05	1.8	0
5.42969e-05	1.8e-14	0
5.4375e-05	1.8	0
5.44531e-05	1.8	0
5.45313e-05	1.8	0
5.46094e-05	1.8e-14	0
5.46875e-05	1.8	0
5.47656e-05	1.8	0
5.48438e-05	1.8	0
5.49219e-05	1.8e-14	0
5.5e-05	1.8	0
5.50781e-05	1.8	0
5.51563e-05	1.8	0
5.52344e-05	1.8e-14	0
5.53125e-05	1.8	0
5.53906e-05	1.8	0
5.54688e-05	1.8	0
5.55469e-05	1.8e-14	0
5.5625e-05	1.8	0
5.57031e-05	1.8	0
5.57813e-05	1.8	0
5.58594e-05	1.8e-14	0
5.59375e-05	1.8	0
5.60156e-05	1.8	0
5.60938e-05	1.8e-14	0
5.61719e-05	1.8	0
5.625e-05	1.8	0
5.63281e-05	1.8	0
5.64063e-05	1.8	0
5.64844e-05	1.8e-14	0
5.65625e-05	1.8	0
5.66406e-05	1.8	0
5.67188e-05	1.8e-14	0
5.67969e-05	1.8	0
5.6875e-05	1.8	0
5.69531e-05	1.8	0
5.70313e-05	1.8	0
5.71094e-05	1.8e-14	0
5.71875e-05	1.8	0
5.72656e-05	1.8e-14	0
5.73438e-05	1.8	0
5.74219e-05	1.8	0
5.75e-05	1.8	0
5.75781e-05	1.8	0
5.76563e-05	1.8e-14	0
5.77344e-05	1.8	0
5.78125e-05	1.8	0
5.78906e-05	1.8e-14	0
5.79688e-05	1.8	0
5.80469e-05	1.8	0
5.8125e-05	1.8e-14	0
5.82031e-05	1.8	0
5.82813e-05	1.8	0
5.83594e-05	1.8	0
5.84375e-05	1.8	0
5.85156e-05	1.8e-14	0
5.85938e-05	1.8e-14	0
5.86719e-05	1.8	0
5.875e-05	1.8	0
5.88281e-05	1.8	0
5.89063e-05	1.8	0
5.89844e-05	1.8	0
5.90625e-05	1.8e-14	0
5.91406e-05	1.8e-14	0
5.92188e-05	1.8	0
5.92969e-05	1.8	0
5.9375e-05	1.8	0
5.94531e-05	1.8	0
5.95313e-05	1.8e-14	0
5.96094e-05	1.8	0
5.96875e-05	1.8e-14	0
5.97656e-05	1.8	0
5.98438e-05	1.8	0
5.99219e-05	1.8e-14	0
6e-05	1.8	0
6.00781e-05	1.8	1.8
6.01563e-05	1.8e-14	0
6.02344e-05	1.8	0
6.03125e-05	1.8	0
6.03906e-05	1.8e-14	0
6.04688e-05	1.8	0
6.05469e-05	1.8	0
6.0625e-05	1.8e-14	0
6.07031e-05	1.8	0
6.07813e-05	1.8	0
6.08594e-05	1.8e-14	0
6.09375e-05	1.8	0
6.10156e-05	1.8e-14	0
6.10938e-05	1.8	0
6.11719e-05	1.8	0
6.125e-05	1.8	0
6.13281e-05	1.8e-14	0
6.14063e-05	1.8	0
6.14844e-05	1.8e-14	0
6.15625e-05	1.8	0
6.16406e-05	1.8e-14	0
6.17188e-05	1.8	0
6.17969e-05	1.8	0
6.1875e-05	1.8	0
6.19531e-05	1.8e-14	0
6.20313e-05	1.8	0
6.21094e-05	1.8e-14	0
6.21875e-05	1.8	0
6.22656e-05	1.8e-14	0
6.23438e-05	1.8	0
6.24219e-05	1.8	0
6.25e-05	1.8e-14	0
6.25781e-05	1.8	0
6.26563e-05	1.8	0
6.27344e-05	1.8e-14	0
6.28125e-05	1.8e-14	0
6.28906e-05	1.8	0
6.29688e-05	1.8	0
6.30469e-05	1.8	0
6.3125e-05	1.8e-14	0
6.32031e-05	1.8e-14	0
6.32813e-05	1.8	0
6.33594e-05	1.8	0
6.34375e-05	1.8e-14	0
6.35156e-05	1.8	0
6.35938e-05	1.8e-14	0
